dataset,optimiser_variant,batch_size,with_rff,learning_rate,l2_radius,tail_avg_loss,time_elapsed_sec
imdb,sgd,8,False,0.01,1.7,0.9990203734824783,25.28055549999408
imdb,sgd,32,False,0.01,1.7,0.999877619097431,9.656231900007697
imdb,sgd,128,False,0.01,1.7,0.9999853072724207,4.633771499997238
imdb,sgd,256,False,0.01,1.7,0.9999936780296933,4.2500367000029655
imdb,momentum,1,False,0.01,1.7,0.9283710770257843,146.93917129999318
imdb,momentum,8,False,0.01,1.7,0.9906659246733951,28.912648600002285
imdb,momentum,32,False,0.01,1.7,0.9987503541715637,10.063100600003963
imdb,momentum,128,False,0.01,1.7,0.9998403549363839,5.5874551000015344
imdb,momentum,256,False,0.01,1.7,0.9999571052781269,4.414407299991581
imdb,adagrad,1,False,0.01,1.7,0.9944322531851901,160.15480799999204
imdb,adagrad,8,False,0.01,1.7,0.9982065885221609,29.58751480000501
imdb,adagrad,32,False,0.01,1.7,0.9992856830061377,10.778178900000057
imdb,adagrad,128,False,0.01,1.7,0.9997782252519447,7.269239500004915
imdb,adagrad,256,False,0.01,1.7,0.9999149488522103,4.89991409999493
imdb,sgd,1,True,0.01,1.7,0.9863107,46.36352970000007
imdb,sgd,8,True,0.01,1.7,0.9993704,31.166390000013052
imdb,sgd,32,True,0.01,1.7,0.99992836,26.676840899992385
imdb,sgd,128,True,0.01,1.7,0.99999017,28.609285099999397
imdb,sgd,256,True,0.01,1.7,0.9999965,27.73790409999492
imdb,momentum,1,True,0.01,1.7,0.9443659,48.991324200003874
imdb,momentum,8,True,0.01,1.7,0.99406683,30.69765560000087
imdb,momentum,32,True,0.01,1.7,0.99924505,28.29571289999876
imdb,momentum,128,True,0.01,1.7,0.9998937,32.02511700001196
imdb,momentum,256,True,0.01,1.7,0.9999577,32.80454969999846
imdb,adagrad,1,True,0.01,1.7,0.9935349,50.520432199991774
imdb,adagrad,8,True,0.01,1.7,0.9982412,35.28715060000832
imdb,adagrad,32,True,0.01,1.7,0.9995443,32.49174730000959
imdb,adagrad,128,True,0.01,1.7,0.9998298,27.120972399992752
imdb,adagrad,256,True,0.01,1.7,0.99979883,28.034610800008522
imdb,sgd,1,False,0.01,1.9,0.9773344162792941,143.7466862000001
imdb,sgd,8,False,0.01,1.9,0.9989888261448856,23.887148099995102
imdb,sgd,32,False,0.01,1.9,0.9998780066795316,9.554111099991133
imdb,sgd,128,False,0.01,1.9,0.9999828572294247,4.956168900011107
imdb,sgd,256,False,0.01,1.9,0.999992437418164,4.963775700001861
imdb,momentum,1,False,0.01,1.9,0.919926237735549,143.74803459999384
imdb,momentum,8,False,0.01,1.9,0.9898910495044682,28.184724200007622
imdb,momentum,32,False,0.01,1.9,0.9986672659562548,10.441013600007864
imdb,momentum,128,False,0.01,1.9,0.9998545663891807,5.865577400007169
imdb,momentum,256,False,0.01,1.9,0.9999453655248078,5.296726699991268
imdb,adagrad,1,False,0.01,1.9,0.9940373853468565,160.69749039999442
imdb,adagrad,8,False,0.01,1.9,0.9982201915810482,27.451345000008587
imdb,adagrad,32,False,0.01,1.9,0.9992716168992056,10.869217400002526
imdb,adagrad,128,False,0.01,1.9,0.9997349251123058,8.034643499995582
imdb,adagrad,256,False,0.01,1.9,0.9999163367100142,5.436365200002911
imdb,sgd,1,True,0.01,1.9,0.98641014,52.49566329999652
imdb,sgd,8,True,0.01,1.9,0.9993767,29.07194999999774
imdb,sgd,32,True,0.01,1.9,0.999925,29.024919799994677
imdb,sgd,128,True,0.01,1.9,0.99998796,26.13904319998983
imdb,sgd,256,True,0.01,1.9,0.9999974,28.1023903000023
imdb,momentum,1,True,0.01,1.9,0.9378883,47.74484600000142
imdb,momentum,8,True,0.01,1.9,0.993756,31.47009900001285
imdb,momentum,32,True,0.01,1.9,0.99923915,28.213136399994255
imdb,momentum,128,True,0.01,1.9,0.99991834,28.148560800007544
imdb,momentum,256,True,0.01,1.9,0.9999721,32.4009015999909
imdb,adagrad,1,True,0.01,1.9,0.9936288,53.945942299993476
imdb,adagrad,8,True,0.01,1.9,0.998272,31.157271000003675
imdb,adagrad,32,True,0.01,1.9,0.99909914,33.20698950000224
imdb,adagrad,128,True,0.01,1.9,0.9999564,31.133172200003173
imdb,adagrad,256,True,0.01,1.9,0.9998574,27.086949599994114
imdb,sgd,1,False,0.01,2.1,0.9772017050997519,145.65708160000213
imdb,sgd,8,False,0.01,2.1,0.9990024989661472,24.287900499999523
imdb,sgd,32,False,0.01,2.1,0.9998807098886062,10.144696000003023
imdb,sgd,128,False,0.01,2.1,0.9999847902076522,4.626333299995167
imdb,sgd,256,False,0.01,2.1,0.9999936526714284,4.299301599996397
imdb,momentum,1,False,0.01,2.1,0.9114976936343627,143.3840393999999
imdb,momentum,8,False,0.01,2.1,0.9904412801878375,26.2762068999873
imdb,momentum,32,False,0.01,2.1,0.9987766425926132,10.663909100010642
imdb,momentum,128,False,0.01,2.1,0.9998532263320933,6.948549900000216
imdb,momentum,256,False,0.01,2.1,0.9999498213269167,5.409032099996693
imdb,adagrad,1,False,0.01,2.1,0.9949729860430323,164.00274050000007
imdb,adagrad,8,False,0.01,2.1,0.9981847859781519,26.495575299995835
imdb,adagrad,32,False,0.01,2.1,0.9992839653381569,9.869950899999822
imdb,adagrad,128,False,0.01,2.1,0.9997300851899896,5.437894699993194
imdb,adagrad,256,False,0.01,2.1,0.9998525277722878,4.680947300003027
imdb,sgd,1,True,0.01,2.1,0.98636526,54.46385569999984
imdb,sgd,8,True,0.01,2.1,0.9994054,30.029539099996327
imdb,sgd,32,True,0.01,2.1,0.99992275,27.35805330000585
