dataset,optimiser_variant,batch_size,with_rff,learning_rate,l2_radius,tail_avg_loss,time_elapsed_sec
imdb,momentum,128,True,0.05,5.0,0.99950075,27.848255599994445
imdb,momentum,256,True,0.05,5.0,0.9997928,32.39659839999513
imdb,adagrad,1,True,0.05,5.0,0.9749031,52.842879599993466
imdb,adagrad,8,True,0.05,5.0,0.9911374,30.864435499999672
imdb,adagrad,32,True,0.05,5.0,0.9972559,27.347594100006972
imdb,adagrad,128,True,0.05,5.0,0.9991363,26.78814940000302
imdb,adagrad,256,True,0.05,5.0,0.9997685,28.666504300010274
imdb,sgd,1,False,0.1,0.1,0.9956872698268864,140.1226394999976
imdb,sgd,8,False,0.1,0.1,0.9994679207948918,28.205012599995825
imdb,sgd,32,False,0.1,0.1,0.9998671711641391,10.484061399998609
imdb,sgd,128,False,0.1,0.1,0.9999635965733626,5.771020300002419
imdb,sgd,256,False,0.1,0.1,0.9999778322354789,4.496093399997335
imdb,momentum,1,False,0.1,0.1,0.9960106932439328,148.2291288999986
imdb,momentum,8,False,0.1,0.1,0.9994187421200116,25.958104600009392
imdb,momentum,32,False,0.1,0.1,0.9998754457593626,10.436055999991368
imdb,momentum,128,False,0.1,0.1,0.9999810443855031,5.690181999991182
imdb,momentum,256,False,0.1,0.1,0.9999949182306588,5.398947699999553
imdb,adagrad,1,False,0.1,0.1,0.997626774720415,152.69062439999834
imdb,adagrad,8,False,0.1,0.1,0.9997129852678802,25.64390770001046
imdb,adagrad,32,False,0.1,0.1,0.999923156571291,10.049402399992687
imdb,adagrad,128,False,0.1,0.1,0.9999785852860761,6.191095000001951
imdb,adagrad,256,False,0.1,0.1,0.9999865666040761,4.353602700008196
imdb,sgd,1,True,0.1,0.1,0.9966198,44.99368759999925
imdb,sgd,8,True,0.1,0.1,0.99955606,28.223123000003397
imdb,sgd,32,True,0.1,0.1,0.999884,26.380435200000647
imdb,sgd,128,True,0.1,0.1,0.999972,25.79976299998816
imdb,sgd,256,True,0.1,0.1,0.9999867,25.738999200009857
imdb,momentum,1,True,0.1,0.1,0.9969527,46.68387159999111
imdb,momentum,8,True,0.1,0.1,0.99949306,28.50929790000373
imdb,momentum,32,True,0.1,0.1,0.99992687,26.31553970000823
imdb,momentum,128,True,0.1,0.1,0.99999046,25.805476499997894
imdb,momentum,256,True,0.1,0.1,1.0000091,25.898178300005384
imdb,adagrad,1,True,0.1,0.1,0.9967365,48.10522669999045
imdb,adagrad,8,True,0.1,0.1,0.99958205,28.617539499988197
imdb,adagrad,32,True,0.1,0.1,0.9998816,26.45978419999301
imdb,adagrad,128,True,0.1,0.1,0.99994254,25.82750099999248
imdb,adagrad,256,True,0.1,0.1,0.9999332,25.747283000004245
imdb,sgd,1,False,0.1,1.0,0.957738332316904,133.05143389999284
imdb,sgd,8,False,0.1,1.0,0.9948252217732136,23.70069599999988
imdb,sgd,32,False,0.1,1.0,0.9987384658649894,10.569147999995039
imdb,sgd,128,False,0.1,1.0,0.9998729633462831,5.540506200006348
imdb,sgd,256,False,0.1,1.0,0.999945979827919,4.317838100003428
imdb,momentum,1,False,0.1,1.0,0.958221131542593,136.36801560000458
imdb,momentum,8,False,0.1,1.0,0.9947411978971831,24.49843989999499
imdb,momentum,32,False,0.1,1.0,0.9986203534758052,10.158953599995584
imdb,momentum,128,False,0.1,1.0,0.9996961647194998,5.628933400003007
imdb,momentum,256,False,0.1,1.0,0.999871729025375,4.071861500007799
imdb,adagrad,1,False,0.1,1.0,0.9764252571416521,144.79588579999108
imdb,adagrad,8,False,0.1,1.0,0.9970454749242215,25.588816000003135
imdb,adagrad,32,False,0.1,1.0,0.9992931820076143,10.15682280001056
imdb,adagrad,128,False,0.1,1.0,0.999862616994842,6.415257800006657
